Title,Country,Date,Time,Impact,Forecast,Previous,URL
FOMC Member Hammack Speaks,USD,12-21-2025,11:00am,Low,,,https://www.metalsmine.com/calendar/913-us-fomc-member-hammack-speaks
1-y Loan Prime Rate,CNY,12-22-2025,1:00am,Low,3.00%,3.00%,https://www.metalsmine.com/calendar/777-ch-1-y-loan-prime-rate
5-y Loan Prime Rate,CNY,12-22-2025,1:00am,Low,3.50%,3.50%,https://www.metalsmine.com/calendar/898-ch-5-y-loan-prime-rate
Final GDP q/q,GBP,12-22-2025,7:00am,Low,0.1%,0.1%,https://www.metalsmine.com/calendar/35-uk-final-gdp-qq
LME Copper Inventories,GBP,12-22-2025,9:00am,Medium,,-3875,https://www.metalsmine.com/calendar/693-uk-lme-copper-inventories
Economic Activity Index y/y,MXN,12-22-2025,12:00pm,Low,0.50%,0.65%,https://www.metalsmine.com/calendar/768-mx-economic-activity-index-yy
RMPI m/m,CAD,12-22-2025,1:30pm,Low,0.6%,1.6%,https://www.metalsmine.com/calendar/91-ca-rmpi-mm
CB Leading Index m/m,CNY,12-22-2025,2:00pm,Low,,-0.8%,https://www.metalsmine.com/calendar/495-ch-cb-leading-index-mm
Monetary Policy Meeting Minutes,AUD,12-23-2025,12:30am,Low,,,https://www.metalsmine.com/calendar/307-au-monetary-policy-meeting-minutes
BOJ Core CPI y/y,JPY,12-23-2025,5:00am,Low,2.2%,2.2%,https://www.metalsmine.com/calendar/631-jn-boj-core-cpi-yy
Import Prices m/m,EUR,12-23-2025,7:00am,Low,0.2%,0.2%,https://www.metalsmine.com/calendar/257-ge-import-prices-mm
LME Copper Inventories,GBP,12-23-2025,9:00am,Medium,,-2650,https://www.metalsmine.com/calendar/693-uk-lme-copper-inventories
Trade Balance,MXN,12-23-2025,12:00pm,Low,0.45B,0.61B,https://www.metalsmine.com/calendar/762-mx-trade-balance
ADP Weekly Employment Change,USD,12-23-2025,1:15pm,Low,,16.3K,https://www.metalsmine.com/calendar/929-us-adp-weekly-employment-change
GDP m/m,CAD,12-23-2025,1:30pm,Low,-0.3%,0.2%,https://www.metalsmine.com/calendar/29-ca-gdp-mm
Prelim GDP q/q,USD,12-23-2025,1:30pm,High,3.3%,3.8%,https://www.metalsmine.com/calendar/27-us-prelim-gdp-qq
Core Durable Goods Orders m/m,USD,12-23-2025,1:30pm,Medium,0.3%,0.6%,https://www.metalsmine.com/calendar/350-us-core-durable-goods-orders-mm
Durable Goods Orders m/m,USD,12-23-2025,1:30pm,Medium,-1.5%,0.5%,https://www.metalsmine.com/calendar/349-us-durable-goods-orders-mm
Prelim GDP Price Index q/q,USD,12-23-2025,1:30pm,Low,2.7%,2.1%,https://www.metalsmine.com/calendar/45-us-prelim-gdp-price-index-qq
Capacity Utilization Rate,USD,12-23-2025,2:14pm,Low,,75.9%,https://www.metalsmine.com/calendar/192-us-capacity-utilization-rate
Industrial Production m/m,USD,12-23-2025,2:14pm,Low,,0.1%,https://www.metalsmine.com/calendar/191-us-industrial-production-mm
Capacity Utilization Rate,USD,12-23-2025,2:15pm,Low,75.9%,75.9%,https://www.metalsmine.com/calendar/192-us-capacity-utilization-rate
Industrial Production m/m,USD,12-23-2025,2:15pm,Low,0.1%,-0.1%,https://www.metalsmine.com/calendar/191-us-industrial-production-mm
CB Consumer Confidence,USD,12-23-2025,3:00pm,Medium,91.7,88.7,https://www.metalsmine.com/calendar/208-us-cb-consumer-confidence
Richmond Manufacturing Index,USD,12-23-2025,3:00pm,Low,-8,-15,https://www.metalsmine.com/calendar/186-us-richmond-manufacturing-index
BOC Summary of Deliberations,CAD,12-23-2025,6:30pm,Low,,,https://www.metalsmine.com/calendar/891-ca-boc-summary-of-deliberations
LME Copper Inventories,GBP,12-24-2025,9:00am,Medium,,825,https://www.metalsmine.com/calendar/693-uk-lme-copper-inventories
Unemployment Claims,USD,12-24-2025,1:30pm,Medium,224K,224K,https://www.metalsmine.com/calendar/11-us-unemployment-claims
Industrial Production y/y,RUB,12-24-2025,4:00pm,Low,1.3%,3.1%,https://www.metalsmine.com/calendar/743-ru-industrial-production-yy
BOJ Gov Ueda Speaks,JPY,12-25-2025,4:59am,Low,,,https://www.metalsmine.com/calendar/892-jn-boj-gov-ueda-speaks
International Reserves,RUB,12-25-2025,1:00pm,Low,,741B,https://www.metalsmine.com/calendar/739-ru-international-reserves
Tokyo Core CPI y/y,JPY,12-25-2025,11:30pm,Low,2.5%,2.8%,https://www.metalsmine.com/calendar/175-jn-tokyo-core-cpi-yy
Prelim Industrial Production m/m,JPY,12-25-2025,11:50pm,Low,-1.9%,1.4%,https://www.metalsmine.com/calendar/225-jn-prelim-industrial-production-mm
Unemployment Rate,RUB,12-26-2025,4:00pm,Low,2.2%,2.2%,https://www.metalsmine.com/calendar/747-ru-unemployment-rate
